artist_country,country_emoji,emoji_lookup,row_number(),url,emoji_label
Finland,:flag_fi:,flag-finland,23,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-finland_1f1eb-1f1ee.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-finland_1f1eb-1f1ee.png' width='25'/>
Belgium,:flag_be:,flag-belgium,24,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-belgium_1f1e7-1f1ea.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-belgium_1f1e7-1f1ea.png' width='25'/>
Azerbaijan,:flag_az:,flag-azerbaijan,25,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-azerbaijan_1f1e6-1f1ff.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-azerbaijan_1f1e6-1f1ff.png' width='25'/>
Cyprus,:flag_cy:,flag-cyprus,26,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-cyprus_1f1e8-1f1fe.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-cyprus_1f1e8-1f1fe.png' width='25'/>
San Marino,:flag_sm:,flag-san marino,27,,<img src='NA' width='25'/>
Malta,:flag_mt:,flag-malta,28,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-malta_1f1f2-1f1f9.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-malta_1f1f2-1f1f9.png' width='25'/>
Poland,:flag_pl:,flag-poland,29,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-poland_1f1f5-1f1f1.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-poland_1f1f5-1f1f1.png' width='25'/>
Romania,:flag_ro:,flag-romania,30,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-romania_1f1f7-1f1f4.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-romania_1f1f7-1f1f4.png' width='25'/>
North Macedonia,:flag_mk:,flag-north macedonia,31,,<img src='NA' width='25'/>
Israel,:flag_il:,flag-israel,32,https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-israel_1f1ee-1f1f1.png,<img src='https://emojipedia-us.s3.dualstack.us-west-1.amazonaws.com/thumbs/120/apple/325/flag-israel_1f1ee-1f1f1.png' width='25'/>
